"IP Address","Tag","Value","Type"
"172.26.32.25","IP Address","172.26.32.25","H"
"172.26.32.1","Backup Reason",,"H"
"172.26.32.2","Backup Reason",,"H"
"172.26.32.3","Backup Reason",,"H"
"172.26.32.4","Backup Reason",,"H"
"172.26.32.5","Backup Reason",,"H"
"172.26.32.6","Backup Reason",,"H"
"172.26.32.7","Backup Reason",,"H"
"172.26.32.8","Backup Reason",,"H"
"172.26.32.9","Backup Reason",,"H"
"172.26.32.10","Backup Reason",,"H"
"172.26.32.11","Backup Reason",,"H"
"172.26.32.12","Backup Reason",,"H"
"172.26.32.13","Backup Reason",,"H"
"172.26.32.14","Backup Reason",,"H"
"172.26.32.15","Backup Reason",,"H"
"172.26.32.16","Backup Reason",,"H"
"172.26.32.17","Backup Reason",,"H"
"172.26.32.18","Backup Reason",,"H"
"172.26.32.19","Backup Reason",,"H"
"172.26.32.20","Backup Reason",,"H"
"172.26.32.21","Backup Reason",,"H"
"172.26.32.31","Backup Reason",,"H"
"172.26.32.32","Backup Reason",,"H"
"172.26.32.33","Backup Reason",,"H"
"172.26.32.34","Backup Reason",,"H"
"172.26.32.37","Backup Reason",,"H"
"172.26.32.38","Backup Reason",,"H"
"172.26.32.39","Backup Reason",,"H"
"172.26.32.40","Backup Reason",,"H"
"172.26.32.41","Backup Reason",,"H"
"172.26.32.45","Backup Reason",,"H"
"172.26.32.46","Backup Reason",,"H"
"172.26.32.50","Backup Reason",,"H"
"172.26.32.49","Backup Reason",,"H"
"172.26.32.48","Backup Reason",,"H"